time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644445870.0186312,8.931,0.111,0.0,0.0,0.0,0.85,0.8420000000000001,0.895,0.85,64.0,71.0,71.0,62.0,
1644445870.2189043,8.931,0.23800000000000002,0.0,0.0,0.0,0.95,0.95,1.0,0.95,64.0,73.0,73.0,63.0,
1644445870.4191823,8.931,0.15,0.0,0.05,0.0,0.6,0.6,0.7,0.684,63.0,70.0,70.0,61.0,
1644445870.6194532,8.931,0.25,0.0,0.0,0.048,0.905,0.9470000000000001,1.0,0.9520000000000001,64.0,72.0,72.0,62.0,
1644445870.8197484,8.931,0.28600000000000003,0.1,0.0,0.053,0.684,0.667,0.8,0.65,61.0,67.0,68.0,59.0,
1644445871.0200284,10.668,0.111,0.05,0.0,0.0,0.9,0.857,0.9,0.9,64.0,72.0,71.0,62.0,
1644445871.2202947,10.668,0.158,0.0,0.048,0.0,0.905,0.9,1.0,0.9470000000000001,65.0,73.0,73.0,63.0,
1644445871.4207935,10.668,0.0,0.0,0.0,0.0,0.6,0.6,0.7140000000000001,0.667,62.0,70.0,70.0,62.0,
1644445871.6212656,10.668,0.33299999999999996,0.05,0.05,0.0,0.9470000000000001,0.95,0.9470000000000001,1.0,64.0,72.0,71.0,63.0,
1644445871.8216562,10.668,0.222,0.0,0.0,0.0,0.6,0.579,0.556,0.7390000000000001,60.0,67.0,67.0,60.0,
1644445872.021929,10.668,0.158,0.0,0.0,0.0,0.9470000000000001,0.9470000000000001,0.9,1.0,64.0,72.0,71.0,63.0,
1644445872.2222054,9.714,0.222,0.0,0.0,0.0,0.85,0.8,0.8640000000000001,0.9470000000000001,60.0,69.0,68.0,60.0,
1644445872.422836,9.714,0.158,0.05,0.05,0.136,0.75,0.75,0.75,0.7,64.0,71.0,71.0,62.0,
1644445872.6232977,9.714,0.222,0.0,0.0,0.05,0.95,0.95,1.0,0.95,64.0,73.0,72.0,63.0,
1644445872.8243995,9.714,0.35,0.05,0.1,0.0,0.579,0.579,0.632,0.7,62.0,69.0,68.0,60.0,
1644445873.024964,9.714,0.17600000000000002,0.0,0.0,0.05,0.9520000000000001,0.9,0.9,0.9,64.0,72.0,71.0,62.0,
1644445873.2255065,9.157,0.391,0.053,0.095,0.0,0.762,0.684,0.684,0.684,61.0,67.0,66.0,59.0,
1644445873.4259655,9.157,0.111,0.095,0.0,0.0,0.9440000000000001,0.85,0.85,0.8420000000000001,64.0,71.0,71.0,62.0,
1644445873.626513,9.157,0.263,0.0,0.0,0.0,1.0,0.95,0.9520000000000001,0.905,65.0,71.0,70.0,63.0,
1644445873.8269997,9.157,0.35,0.0,0.05,0.0,0.632,0.667,0.579,0.632,62.0,70.0,69.0,62.0,
1644445874.0274837,9.706,0.316,0.0,0.0,0.05,0.95,0.905,0.95,0.9520000000000001,64.0,72.0,71.0,63.0,
1644445874.2280807,9.706,0.222,0.0,0.0,0.05,0.579,0.579,0.579,0.75,61.0,67.0,67.0,60.0,
1644445874.42855,9.706,0.158,0.0,0.0,0.0,0.95,0.95,0.95,1.0,64.0,72.0,71.0,62.0,
1644445874.6289475,9.706,0.158,0.0,0.0,0.0,0.75,0.789,0.8,0.85,60.0,69.0,68.0,60.0,
1644445874.829237,9.706,0.105,0.0,0.0,0.1,0.789,0.737,0.75,0.789,63.0,71.0,70.0,62.0,
1644445875.0295045,9.706,0.158,0.0,0.0,0.0,0.95,0.909,0.95,0.95,65.0,72.0,72.0,63.0,
1644445875.229791,8.989,0.2,0.0,0.048,0.0,0.737,0.619,0.5710000000000001,0.6,63.0,68.0,68.0,60.0,
1644445875.4300637,8.989,0.0,0.091,0.0,0.0,0.9520000000000001,0.9,0.9440000000000001,0.9520000000000001,65.0,71.0,70.0,62.0,
1644445875.6303535,8.989,0.16699999999999998,0.0,0.0,0.0,0.8420000000000001,0.789,0.7140000000000001,0.7,60.0,68.0,67.0,59.0,
1644445875.8306484,8.989,0.15,0.0,0.05,0.1,0.81,0.85,0.8640000000000001,0.8,63.0,71.0,70.0,61.0,
1644445876.03092,8.989,0.158,0.05,0.0,0.0,0.95,1.0,0.905,0.95,63.0,73.0,72.0,62.0,
1644445876.2312021,8.989,0.2,0.0,0.0,0.0,0.579,0.611,0.667,0.6,61.0,70.0,68.0,60.0,
1644445876.4314735,9.996,0.111,0.053,0.0,0.0,0.9,1.0,0.9,0.9470000000000001,64.0,73.0,71.0,62.0,
1644445876.6317492,9.996,0.19,0.0,0.05,0.0,0.789,0.81,0.833,0.7,59.0,68.0,66.0,58.0,
1644445876.8321514,9.996,0.158,0.05,0.0,0.095,0.8,0.789,0.75,0.857,63.0,71.0,69.0,62.0,
1644445877.032602,9.996,0.21100000000000002,0.15,0.05,0.0,0.9520000000000001,0.9520000000000001,0.95,0.95,65.0,73.0,72.0,63.0,
1644445877.23307,8.798,0.158,0.053,0.0,0.0,0.6,0.579,0.5710000000000001,0.684,62.0,69.0,69.0,61.0,
1644445877.433525,8.798,0.0,0.105,0.048,0.095,0.9470000000000001,0.9470000000000001,0.95,1.0,64.0,72.0,71.0,63.0,
1644445877.6339436,8.798,0.095,0.1,0.0,0.0,0.85,0.818,0.789,0.9470000000000001,61.0,69.0,68.0,61.0,
1644445877.8342245,8.798,0.111,0.0,0.1,0.05,0.75,0.75,0.75,0.762,64.0,71.0,70.0,62.0,
1644445878.0345004,8.798,0.0,0.0,0.0,0.0,1.0,0.9470000000000001,0.95,0.95,65.0,72.0,72.0,63.0,
1644445878.234669,9.111,0.111,0.0,0.0,0.048,0.636,0.65,0.6,0.55,61.0,68.0,67.0,59.0,
1644445878.434939,9.111,0.105,0.0,0.0,0.0,1.0,0.9470000000000001,0.95,0.9470000000000001,64.0,71.0,71.0,62.0,
1644445878.635224,9.111,0.15,0.0,0.0,0.0,0.95,0.857,0.9,0.905,64.0,72.0,71.0,62.0,
1644445878.8355205,9.111,0.11800000000000001,0.0,0.05,0.1,0.737,0.684,0.65,0.632,64.0,70.0,69.0,62.0,
